concept,label,value,numeric_value,unit,scale,period_start,period_end,period_type,fiscal_year,fiscal_period,filing_date,form_type,accession,data_quality,confidence_score,is_audited,is_estimated,statement_type
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",180395000000.0,180395000000.0,USD,,2023-07-01,2024-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",61858000000.0,61858000000.0,USD,,2024-01-01,2024-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",205283000000.0,205283000000.0,USD,,2024-07-01,2025-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",70066000000.0,70066000000.0,USD,,2025-01-01,2025-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",321000000000.0,321000000000.0,USD,,,2025-03-31,instant,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",118537000000.0,118537000000.0,USD,,2023-07-01,2023-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",62020000000.0,62020000000.0,USD,,2023-10-01,2023-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",135217000000.0,135217000000.0,USD,,2024-07-01,2024-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",69632000000.0,69632000000.0,USD,,2024-10-01,2024-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",304000000000.0,304000000000.0,USD,,,2024-12-31,instant,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",56517000000.0,56517000000.0,USD,,2023-07-01,2023-09-30,duration,2025,Q1,2024-10-30,10-Q,0000950170-24-118967,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",65585000000.0,65585000000.0,USD,,2024-07-01,2024-09-30,duration,2025,Q1,2024-10-30,10-Q,0000950170-24-118967,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",266000000000.0,266000000000.0,USD,,,2024-09-30,instant,2025,Q1,2024-10-30,10-Q,0000950170-24-118967,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",211915000000.0,211915000000.0,USD,,2022-07-01,2023-06-30,duration,2025,FY,2025-07-30,10-K,0000950170-25-100235,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",245122000000.0,245122000000.0,USD,,2023-07-01,2024-06-30,duration,2025,FY,2025-07-30,10-K,0000950170-25-100235,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",281724000000.0,281724000000.0,USD,,2024-07-01,2025-06-30,duration,2025,FY,2025-07-30,10-K,0000950170-25-100235,high,0.9,True,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",375000000000.0,375000000000.0,USD,,,2025-06-30,instant,2025,FY,2025-07-30,10-K,0000950170-25-100235,high,0.9,True,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",155726000000.0,155726000000.0,USD,,2022-07-01,2023-03-31,duration,2024,Q3,2024-04-25,10-Q,0000950170-24-048288,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",52857000000.0,52857000000.0,USD,,2023-01-01,2023-03-31,duration,2024,Q3,2024-04-25,10-Q,0000950170-24-048288,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",180395000000.0,180395000000.0,USD,,2023-07-01,2024-03-31,duration,2024,Q3,2024-04-25,10-Q,0000950170-24-048288,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",61858000000.0,61858000000.0,USD,,2024-01-01,2024-03-31,duration,2024,Q3,2024-04-25,10-Q,0000950170-24-048288,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",242000000000.0,242000000000.0,USD,,,2024-03-31,instant,2024,Q3,2024-04-25,10-Q,0000950170-24-048288,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",102869000000.0,102869000000.0,USD,,2022-07-01,2022-12-31,duration,2024,Q2,2024-01-30,10-Q,0000950170-24-008814,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",52747000000.0,52747000000.0,USD,,2022-10-01,2022-12-31,duration,2024,Q2,2024-01-30,10-Q,0000950170-24-008814,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",118537000000.0,118537000000.0,USD,,2023-07-01,2023-12-31,duration,2024,Q2,2024-01-30,10-Q,0000950170-24-008814,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",62020000000.0,62020000000.0,USD,,2023-10-01,2023-12-31,duration,2024,Q2,2024-01-30,10-Q,0000950170-24-008814,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",229000000000.0,229000000000.0,USD,,,2023-12-31,instant,2024,Q2,2024-01-30,10-Q,0000950170-24-008814,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",50122000000.0,50122000000.0,USD,,2022-07-01,2022-09-30,duration,2024,Q1,2023-10-24,10-Q,0000950170-23-054855,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",56517000000.0,56517000000.0,USD,,2023-07-01,2023-09-30,duration,2024,Q1,2023-10-24,10-Q,0000950170-23-054855,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",216000000000.0,216000000000.0,USD,,,2023-09-30,instant,2024,Q1,2023-10-24,10-Q,0000950170-23-054855,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",198270000000.0,198270000000.0,USD,,2021-07-01,2022-06-30,duration,2024,FY,2024-07-30,10-K,0000950170-24-087843,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",211915000000.0,211915000000.0,USD,,2022-07-01,2023-06-30,duration,2024,FY,2024-07-30,10-K,0000950170-24-087843,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",245122000000.0,245122000000.0,USD,,2023-07-01,2024-06-30,duration,2024,FY,2024-07-30,10-K,0000950170-24-087843,high,0.9,True,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",275000000000.0,275000000000.0,USD,,,2024-06-30,instant,2024,FY,2024-07-30,10-K,0000950170-24-087843,high,0.9,True,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",146405000000.0,146405000000.0,USD,,2021-07-01,2022-03-31,duration,2023,Q3,2023-04-25,10-Q,0000950170-23-014423,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",49360000000.0,49360000000.0,USD,,2022-01-01,2022-03-31,duration,2023,Q3,2023-04-25,10-Q,0000950170-23-014423,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",155726000000.0,155726000000.0,USD,,2022-07-01,2023-03-31,duration,2023,Q3,2023-04-25,10-Q,0000950170-23-014423,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",52857000000.0,52857000000.0,USD,,2023-01-01,2023-03-31,duration,2023,Q3,2023-04-25,10-Q,0000950170-23-014423,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",201000000000.0,201000000000.0,USD,,,2023-03-31,instant,2023,Q3,2023-04-25,10-Q,0000950170-23-014423,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",97045000000.0,97045000000.0,USD,,2021-07-01,2021-12-31,duration,2023,Q2,2023-01-24,10-Q,0001564590-23-000733,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",51728000000.0,51728000000.0,USD,,2021-10-01,2021-12-31,duration,2023,Q2,2023-01-24,10-Q,0001564590-23-000733,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",102869000000.0,102869000000.0,USD,,2022-07-01,2022-12-31,duration,2023,Q2,2023-01-24,10-Q,0001564590-23-000733,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",52747000000.0,52747000000.0,USD,,2022-10-01,2022-12-31,duration,2023,Q2,2023-01-24,10-Q,0001564590-23-000733,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",193000000000.0,193000000000.0,USD,,,2022-12-31,instant,2023,Q2,2023-01-24,10-Q,0001564590-23-000733,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",45317000000.0,45317000000.0,USD,,2021-07-01,2021-09-30,duration,2023,Q1,2022-10-25,10-Q,0001564590-22-035087,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",50122000000.0,50122000000.0,USD,,2022-07-01,2022-09-30,duration,2023,Q1,2022-10-25,10-Q,0001564590-22-035087,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",183000000000.0,183000000000.0,USD,,,2022-09-30,instant,2023,Q1,2022-10-25,10-Q,0001564590-22-035087,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",168088000000.0,168088000000.0,USD,,2020-07-01,2021-06-30,duration,2023,FY,2023-07-27,10-K,0000950170-23-035122,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",198270000000.0,198270000000.0,USD,,2021-07-01,2022-06-30,duration,2023,FY,2023-07-27,10-K,0000950170-23-035122,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",211915000000.0,211915000000.0,USD,,2022-07-01,2023-06-30,duration,2023,FY,2023-07-27,10-K,0000950170-23-035122,high,0.9,True,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",229000000000.0,229000000000.0,USD,,,2023-06-30,instant,2023,FY,2023-07-27,10-K,0000950170-23-035122,high,0.9,True,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",121936000000.0,121936000000.0,USD,,2020-07-01,2021-03-31,duration,2022,Q3,2022-04-26,10-Q,0001564590-22-015675,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",41706000000.0,41706000000.0,USD,,2021-01-01,2021-03-31,duration,2022,Q3,2022-04-26,10-Q,0001564590-22-015675,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",146405000000.0,146405000000.0,USD,,2021-07-01,2022-03-31,duration,2022,Q3,2022-04-26,10-Q,0001564590-22-015675,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",49360000000.0,49360000000.0,USD,,2022-01-01,2022-03-31,duration,2022,Q3,2022-04-26,10-Q,0001564590-22-015675,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",160000000000.0,160000000000.0,USD,,,2022-03-31,instant,2022,Q3,2022-04-26,10-Q,0001564590-22-015675,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",80230000000.0,80230000000.0,USD,,2020-07-01,2020-12-31,duration,2022,Q2,2022-01-25,10-Q,0001564590-22-002324,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",43076000000.0,43076000000.0,USD,,2020-10-01,2020-12-31,duration,2022,Q2,2022-01-25,10-Q,0001564590-22-002324,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",97045000000.0,97045000000.0,USD,,2021-07-01,2021-12-31,duration,2022,Q2,2022-01-25,10-Q,0001564590-22-002324,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",51728000000.0,51728000000.0,USD,,2021-10-01,2021-12-31,duration,2022,Q2,2022-01-25,10-Q,0001564590-22-002324,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",152000000000.0,152000000000.0,USD,,,2021-12-31,instant,2022,Q2,2022-01-25,10-Q,0001564590-22-002324,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",37154000000.0,37154000000.0,USD,,2020-07-01,2020-09-30,duration,2022,Q1,2021-10-26,10-Q,0001564590-21-051992,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",45317000000.0,45317000000.0,USD,,2021-07-01,2021-09-30,duration,2022,Q1,2021-10-26,10-Q,0001564590-21-051992,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",142000000000.0,142000000000.0,USD,,,2021-09-30,instant,2022,Q1,2021-10-26,10-Q,0001564590-21-051992,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",143015000000.0,143015000000.0,USD,,2019-07-01,2020-06-30,duration,2022,FY,2022-07-28,10-K,0001564590-22-026876,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",168088000000.0,168088000000.0,USD,,2020-07-01,2021-06-30,duration,2022,FY,2022-07-28,10-K,0001564590-22-026876,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",198270000000.0,198270000000.0,USD,,2021-07-01,2022-06-30,duration,2022,FY,2022-07-28,10-K,0001564590-22-026876,high,0.9,True,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",193000000000.0,193000000000.0,USD,,,2022-06-30,instant,2022,FY,2022-07-28,10-K,0001564590-22-026876,high,0.9,True,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",104982000000.0,104982000000.0,USD,,2019-07-01,2020-03-31,duration,2021,Q3,2021-04-27,10-Q,0001564590-21-020891,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",35021000000.0,35021000000.0,USD,,2020-01-01,2020-03-31,duration,2021,Q3,2021-04-27,10-Q,0001564590-21-020891,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",121936000000.0,121936000000.0,USD,,2020-07-01,2021-03-31,duration,2021,Q3,2021-04-27,10-Q,0001564590-21-020891,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",41706000000.0,41706000000.0,USD,,2021-01-01,2021-03-31,duration,2021,Q3,2021-04-27,10-Q,0001564590-21-020891,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",121000000000.0,121000000000.0,USD,,,2021-03-31,instant,2021,Q3,2021-04-27,10-Q,0001564590-21-020891,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",69961000000.0,69961000000.0,USD,,2019-07-01,2019-12-31,duration,2021,Q2,2021-01-26,10-Q,0001564590-21-002316,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",36906000000.0,36906000000.0,USD,,2019-10-01,2019-12-31,duration,2021,Q2,2021-01-26,10-Q,0001564590-21-002316,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",80230000000.0,80230000000.0,USD,,2020-07-01,2020-12-31,duration,2021,Q2,2021-01-26,10-Q,0001564590-21-002316,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",43076000000.0,43076000000.0,USD,,2020-10-01,2020-12-31,duration,2021,Q2,2021-01-26,10-Q,0001564590-21-002316,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",117000000000.0,117000000000.0,USD,,,2020-12-31,instant,2021,Q2,2021-01-26,10-Q,0001564590-21-002316,high,0.9,False,False,
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,"Contract with Customer, Liability, Revenue Recognized",20851000000.0,20851000000.0,USD,,2020-07-01,2020-09-30,duration,2021,Q1,2020-10-27,10-Q,0001564590-20-047996,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",33055000000.0,33055000000.0,USD,,2019-07-01,2019-09-30,duration,2021,Q1,2020-10-27,10-Q,0001564590-20-047996,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",37154000000.0,37154000000.0,USD,,2020-07-01,2020-09-30,duration,2021,Q1,2020-10-27,10-Q,0001564590-20-047996,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",111000000000.0,111000000000.0,USD,,,2020-09-30,instant,2021,Q1,2020-10-27,10-Q,0001564590-20-047996,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",125843000000.0,125843000000.0,USD,,2018-07-01,2019-06-30,duration,2021,FY,2021-07-29,10-K,0001564590-21-039151,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",143015000000.0,143015000000.0,USD,,2019-07-01,2020-06-30,duration,2021,FY,2021-07-29,10-K,0001564590-21-039151,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",168088000000.0,168088000000.0,USD,,2020-07-01,2021-06-30,duration,2021,FY,2021-07-29,10-K,0001564590-21-039151,high,0.9,True,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",146000000000.0,146000000000.0,USD,,,2021-06-30,instant,2021,FY,2021-07-29,10-K,0001564590-21-039151,high,0.9,True,False,
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,"Contract with Customer, Liability, Revenue Recognized",56558000000.0,56558000000.0,USD,,2019-07-01,2020-03-31,duration,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",92126000000.0,92126000000.0,USD,,2018-07-01,2019-03-31,duration,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",30571000000.0,30571000000.0,USD,,2019-01-01,2019-03-31,duration,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",104982000000.0,104982000000.0,USD,,2019-07-01,2020-03-31,duration,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",35021000000.0,35021000000.0,USD,,2020-01-01,2020-03-31,duration,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",93000000000.0,93000000000.0,USD,,,2020-03-31,instant,2020,Q3,2020-04-29,10-Q,0001564590-20-019706,high,0.9,False,False,
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,"Contract with Customer, Liability, Revenue Recognized",37093000000.0,37093000000.0,USD,,2019-07-01,2019-12-31,duration,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",61555000000.0,61555000000.0,USD,,2018-07-01,2018-12-31,duration,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",32471000000.0,32471000000.0,USD,,2018-10-01,2018-12-31,duration,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",69961000000.0,69961000000.0,USD,,2019-07-01,2019-12-31,duration,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",36906000000.0,36906000000.0,USD,,2019-10-01,2019-12-31,duration,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",93000000000.0,93000000000.0,USD,,,2019-12-31,instant,2020,Q2,2020-01-29,10-Q,0001564590-20-002450,high,0.9,False,False,
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,"Contract with Customer, Liability, Revenue Recognized",18102000000.0,18102000000.0,USD,,2019-07-01,2019-09-30,duration,2020,Q1,2019-10-23,10-Q,0001564590-19-037549,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",29084000000.0,29084000000.0,USD,,2018-07-01,2018-09-30,duration,2020,Q1,2019-10-23,10-Q,0001564590-19-037549,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",33055000000.0,33055000000.0,USD,,2019-07-01,2019-09-30,duration,2020,Q1,2019-10-23,10-Q,0001564590-19-037549,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",89000000000.0,89000000000.0,USD,,,2019-09-30,instant,2020,Q1,2019-10-23,10-Q,0001564590-19-037549,high,0.9,False,False,
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,"Contract with Customer, Liability, Revenue Recognized",76948000000.0,76948000000.0,USD,,2019-07-01,2020-06-30,duration,2020,FY,2020-07-30,10-K,0001564590-20-034944,high,0.9,True,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",110360000000.0,110360000000.0,USD,,2017-07-01,2018-06-30,duration,2020,FY,2020-07-30,10-K,0001564590-20-034944,high,0.9,True,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",29084000000.0,29084000000.0,USD,,2018-07-01,2018-09-30,duration,2020,FY,2020-07-30,10-K,0001564590-20-034944,high,0.9,True,False,IncomeStatement
